,review title,job title,job location,date,description,pros,cons
0,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
1,good,Técnico em Mineração,"Conceição do Mato Dentro, MG",11-Dec-18,"Melhor empresa que já trabalhei. Clima agradável, valorização do profissional, segurança em primeiro lugar,", , 
2,Excellent work enviroment,Electrical Foreman,North West,08-Dec-18,"I would get there prepare for the guys hold a safety meeting with the team and plan for the shift. Then I would go present the days plan to the engineer and receive any special instructions, there after I have coffee change prepare to go underground to do over inspections and assist where need be. There is a lot I learnt which was beyond my trade in order to help mining we would really support them so we reached the end goal of production. We had management courses that we would attend every now and then, these would help us in the work environment even in dealing with a few managers who were difficult to deal with. The culture was nothing new or difficult, example act with integrity which were things that were supposed to be a norm. The hardest part of the job was the long working hours that we had integrated into of 12 hours 6 days morning shift and 12 hours 6 days night shift and 8 days off. I enjoyed solving problems whatever issues we had was a challenge I wanted to solve at the end, I did it with my team and we did it with pride.",Development,Long hours
3,Productive and self growth,Personal Assistant to Senior Management,"Johannesburg, Gauteng",27-Nov-18,I loved going to work. The people were professional. The company had strict rules that we had to adhere to. The culture was just so amazing. We had respect for each other and had lost of fun aswell.,Free lunches,Lots of meetings :-)
4,Good place to start your career,Aprendiz SENAI,"Niquelândia, GO",23-Nov-18,"Tive pouco contato com a empresa de fato, pois no mesmo periodo realizava um curso oferecido pelo senai",oferece bons serviços para os aprendizes,não encontrei
5,Great company to work for,AET facilitator,"Limpopo, Thabazimbi",23-Nov-18,"Recruit learners for own time classes, planning lessons, monitoring learners' progress. I learned how to be versatile as the learners of the AET center come from a wide range of ethnic backgrounds. I learned techniques of incorporating multicultural classrooms. As the teachers of the company we believed in team spirit as were striving towards the same goal, which was producing quality learners. The hardest part of the job was dealing with a learner with a negative attitude. The most enjoyable part of the job was we were giving our learners certificates for their achievements.", , 
6,Great company,IIT Application Support Analyst,"Johannesburg, Gauteng",08-Nov-18,"	Assisting and handling user calls	Setup and maintain documentation and standards	Ensure documents are reviewed as per scheduledo instalation",Free lunch,8 hours
7,"Productive,production is very high",IT Site Manager,"São João da Barra, RJ",19-Oct-18,"Excelente empresa para se trabalhar. Salário muito bom, benefícios acima dos praticados no mercado e um plano de carreira agressivo com muito investimento no colaborador e metas desafiadoras. Me sentia desafiado todos os dias e era notável a minha evolução como profissional dia a dia. Um dia espero ter a oportunidade de retornar à essa empresa fantástica.",Desenvolvimento de carreira e benefícios,Não tem.
8,Fancy company,Estágio em Assistente Administrativo,"Niquelândia, GO",19-Oct-18,"Ótimo lugar para trabalhar, instalações ótimos, ambiente agradável e de muita organização.", , 
9,Good environment to work in  and productive company,Técnico de Planejamento de Manutenção,"Conceição do Mato Dentro, MG",17-Oct-18,"A Anglo American é uma empresa nota 10 em segurança, cuidado com as pessoas, com o meio ambiente e com todos envolvidos em seus negócios.",Excelente empresa,A localização
10,Great Company to work,Processor Grade 3 B2,"Rustenburg, North West",08-Oct-18,"The company upholds the constitution and is against any form of discrimination. The hardest part of my job was when we does the lock out and cleaning inside the mill.The company taught me discipline, to be panctual and team spirit.",Safety bonuses,Night shift
