,review title,job title,job location,date,description,pros,cons
0,"cooperative and diverse environment,",Sales Support Coordinator,IN,"October 8, 2018","Devising the new sales product i.e. CHR (Commodity Health Report)& selling the same to new & existing clients. I have learned that changing the way of selling changes the mind of buyers, Management supported me with this new idea & allowed me to present the same to existing customers, The support reflects the teamwork and motivation that i got from my mates, Hardest part of my job was to get the approvals from my manager for final negotiation with clients.Most enjoyable part was interacting with ppl - customers, internal teammates, seniors, vendors on day today basis, learning something new on daily basis.",Flexibility in work,wait list for approvals
1,Ambiente Laboral,Coordinador Comercio Exterior,"Montevideo, Departamento de Montevideo","November 14, 2018","Mucha rotacion de personal, actualmente cuenta con muchos menos empleados debido a la mala gestion de la empresa.",Buen salario,Falta de colaboracion de los otros sectores
2,Dynamisches Unternehmen,Legal,"Baar, ZG","November 7, 2018","Sehr flache Hierarchie, Viel Spielraum um Entscheidungen selber zu treffen, Proaktives arbeiten, Dynamisches Umfeld, International und Multikulturell", , 
3,Production driven company promoting entrepreneurialism in doing it simplistic.,Resident Engineer,Kroondal mine,"October 28, 2018",Typical day - Start at 06H00 by first going through the product figures. I then attend the daily operations meeting. Thereafter I see my GES and address specific tasks I want done. Then I proceed though the paint and thereafter to my office and administrative work.As an engineering manager I am required to provide machine availability and maintenance strategies is high on my list of things to do.The culture in the work place is of such that I am allowed to take responsibility and authority.There isn't any part of my job being hard but I do not like to be tied down in lengthy meetings.The thing I enjoy most is the freedom to exercise entrepreneurialism by experimenting with latest technology.,Excellent benefits in a 5 day work week,Legislative audits
4,Glencore Experience,Tax Analyst,"Stamford, CT","October 22, 2018","Glencore is a successful physical commodities trader with a main office in New York City.  Promotions from within are not usually available since the department is run in a lean and mean approach.  The income tax department has 3 to 4 professional that are responsible for all income tax related tasks including federal and state return compliance, informational return compliance, tax provisions, tax research and international tax reporting for two companies that repost within the Glencore ownership structure.  Compensation packages are very attractive.Work schedule is 8:30 to 5pm with most of the day made up to meeting, daily compliance work and planning for quarterly provisions.  This work allows for individual knowledge growth and putting an individual stamp of how things are done.  The group reported to the Director of Tax who then reported to the International Tax Director.  While allowing from individual slack , promotion from within was not possible due to the lack of upward mobility.  I will miss most of the employees who operated in the back office area as there was a great extent of inter departmental interaction",Very competitive compensation packages,Long commute and lack of possible promotion
5,gøy,Stillasbygger,Kristiansand kommune,"October 22, 2018",Det var bra HMS og bra betalt. Bra felleskap og gode arbeidsstider.,lønn,Mye farer
6,Good working environment,Plant Operator,"Rustenburg, North West","October 17, 2018","A wonderful place to work with, Safety standards are very high, competitive benefits and workers are taken care of, the medical aid is one of the best in the country, Job security is not a problem as they are in competitive with the economy",Bonuses,Shift Hours
7,It  is a big multi million dollar company where you where pretty much just another number,Underground Operator,Mount Isa QLD,"October 3, 2018",There ethic was a fair days work for a fair days pay and for you to follow all prceedures and rules and guidlines which is understandable there was ampol training for all the tasks we had to complete and  machines that i operated,Paid holidays 4 on 4 off roster and a good wage 12000 a year,Taxed highly and
8,Not the best,Assistant Furnace Operator,"Rustenburg, North West","September 25, 2018",Working conditions and overall culture is unpleasant to say the least.  Good benefits and salary but this doesn't make up for everything you have to put up with.,Benefits,Working hours
9,Toxic work environment with poisonous people,Machine Operator,Mcarthur River Mine,"September 22, 2018","Glencore is a firm believer in casualisation of the work force. Machine operators hired as casuals routinely have the carrot dangled in front of them with the promise of permanent full time positions by managment and superintendents saying 'next year we will put people on the books' year after year, but it never happens, and it never will.The roster is good (even time) but your salary will certainly show how much time you spend not working. Many skilled positions dont crack the 6 figure mark including super (total package) if your town job allowed you to do the hours, you could earn more without spending half your life away from your wife and kids.Every single crew and work group has a purple circle. Putting your head down and doing your work above expectations without complaining, never having time off, never blowing numbers or failing drug tests or never having incidents or near misses does not help your career advancement at all. Merit is solely rewarded on how well the employee gets along with supervisors, superintendents and managers and who they drink with at the wet mess.It is a terrible place to work with poisonous people and a very toxic culture. You have been warned.", , 
10,Engineering maintenance,Learner fitter,"Witbank, Mpumalanga","September 20, 2018",Good working experience and working with people who have experience in the engineering field and mining industry. Engineering knowledge and maintenance skills in plant. Opencast and underground,Safety bonus,Travel long distance to work
11,management très pauvre,Government Relations Analyst (Mauritania),Nouakchott,"September 17, 2018","Le directeur des ressources humaines dans cette entreprise, en Mauritanie, n'a cessé de briser l'unité des employés en développant l'animosité entre eux.",les échanges culturels avec les expatriés,Absence d'autorité de recours
12,hard work with no life balance,"Senior Traffic Operator, Refined Metals","Baar, ZG","September 12, 2018","A good place to learn, unhealthy environment, extremely competitive, poor management.Too much tasks to do and all is very importantExtremely stressful with no support from the managers","personal card for lunch, gym available with classes at lunch time and evening","extremely too much to do, compromissing even your breaks, poor management and HR."
13,there were no much pressure and i had good team who gives support,shift fitter,"Steelpoort, Limpopo","August 23, 2018","columbus has a good plant to learn from also have good exprienced leaders..always doing plant inspection using scanner,that pushes you to scan the equipment your scanning",meal subsite,there more overtime
14,Organization with no culture,Senior Internal Auditor,"Toronto, ON","August 21, 2018",Glencore is a trader driven company with very opaque decision making process. There is no career progression program thus growth and learning are very limited.,none,poor management
15,Excellent employer,Operating Engineer 2nd class,"Onaping, ON","August 16, 2018","A very good company to work for with a strong emphasis on saftey.All the training you could want.Possibilities open up at times for job advancement or even intercompany career change. The staff,management,and employees are very professional.","Great salary, holidays, people, ethics.","shift work, overtime"
16,Glencore,Chemist,"Greater Sudbury, ON","August 8, 2018",Glencore has good wages and benefits. Glencore is involved with the community.  Has a very good health and wellness program.  Glencore has a good health and safety culture., , 
17,Micromanagement,Maintenance Superintendent,"Rustenburg, North West","August 8, 2018",Glencore is very diiferent from where i have worked before.There seems to be no trust because senior personnel always finds a way to micromanage subordinates, , 
18,Not a nice place to work at all,Driller,Singleton NSW,"July 20, 2018",Terrible company to work for . Management are a pack of monkeys trying to solve a Rubik's cube . They have no idea what they are doing . Everyone is trying to climb the corporate ladder and don't care who they leave in there wake .,Money,"Long hours, no thankyou, no pay negotiations, no life ."
19,Buenos beneficios,TRAINING COORDINATOR - HR SENIOR ADVISOR,JAGUA,"July 10, 2018","Excelente empresa, buenos beneficios, crecimiento y desarrollo profesional",Beneficios,No hay
20,If your manager is weak RUN,TRAFFIC COORDINATOR,"Stamford, CT","June 25, 2018",My coworker was a bully and she set me up for a failure numerous time. I approached my manager at least 8 times in 10 months and she did not act on it. Instead of complaining to senior management or HR I just left. Because I respected Glencore to much!Manager was terrible and did not do anything to help me. I have never been this depressed in my entire carrier. Bullied by a coworker in fortune 500 company and no help...,benefits and pay,very selfish weak and rude manager
22,Wonderful place to work,Executive Assistant,"London, Greater London","June 13, 2018","Great place to work, amazing opportunities. Great team to work with excellent management at all offices globally. professional yet comfortable environment.",Career progession,long working hours
23,A good company,Senior Business Analyst - IT,"Toronto, ON","May 29, 2018","Professional environment, good company, big operations world wide and a lot of opportunities and projects to work. Operations in South America with a lot of communications with the others operations.",Lot of projects,Working for contract
24,Best place to learn the business,Coal Operations,Kanton Zug,"May 22, 2018",Glencore has a strong corporate culture and very demanding and challenging environment. You can learn business processes and excellence in operations and trading., , 
25,Sink or Swim doesn't work for everyone...,Professional,"New York, NY","May 16, 2018","There isn't enough professional training offered to employees or designated managers of this company.  Quite often people are thrown into their responsibilities and you either sink or swim... Fortunately, I swam! The old school trading floor ""work hard, play harder"" mentality was replaced with a corporate structure seemingly driven by industry image when the company moved to NYC. The office lost a lot of great talent",A block from Grand Central Terminal,Poor Corporate Structure in NY
26,Excelente ambiente de trabajo,Técnico en mantenimiento eléctrico en mina,"Catamarca, Catamarca","May 13, 2018",Primero la seguridad en esta empresa. Buen ambiente de trabajo.  Muchas seriedad,Seguro médico privado, 
27,Good place to work on large scale operation,Superintendent - Operations and Production,Western Australia,"May 11, 2018","Good plant to work at, always something different, have learned an immense amount of technical plant knowledge and man management skills. The Murrin Murin Nickel operations has a lot of potential.", , 
28,Un buen ambiente de trabajo,Jefe de Guardia,yauliyacu,"May 7, 2018",Es una gran empresa que te permite desarrollarte profesionalmente,te dan todas las facilidades en sus instalaciones,ninguna
29,Good place to work,DEVELOPER/ MINER,"Brits, North West","May 4, 2018","very good place to work,management always willing to help with anything work related or not work related. I would recommend any one to work at Glencore just a good place to work", , 
30,depressing  atmosphere where no-one is very happy.,Millwright,"Timmins, ON","May 2, 2018",used to be a good place to work but no longer. Still pays well ing but they are trying to get rid of people because they are closing in two to 4 years.,monthly bonus,"a lot of selfish, uneducated people work there and corruption seems rampant."
31,Buena,Ingeniero de Proyectos,Yauliyacu,"April 13, 2018",Buen trabajoTe deja crecer y esta muy cerca a lima para estudiar.,Todos los beneficios,Poca paga
32,Muy buena empresa,Mecanico hdp,Antofagasta,"April 12, 2018",Ambiente  de trabajo muy bueno  muy buena empresa  muchos beneficios, , 
33,Glencore was good but change i management made it very hard,Operator - Bulk Production Logistics (BPL),Mount Isa QLD,"April 1, 2018","Glencore was a great place to work, until a change in management which made it really hard for me to balance life and family with always being spoken to negatively",training,Inexperienced Management
34,Prouction maintenance  section,Electrical Technician,Oaky Creek Coal,"March 27, 2018","I came out from heavy resource industry with exposure to wide stream of process plant and equipment  and working with a lot of Technical and professional personnel through out my path.During that journey I have learnt a lot that developed my personal profession  and most of all value people culture as the most vital asset in any organisation.I have switched jobs across various reputable industries gaining exposure and acquired the experiences to perform my duties and roles  satisfactorily, while doing that I have also undertaken engineering courses using my own personal resources such as time and paying for the costWorkplace culture where I have been were more supportive, interaction from updown style management which created a open environment for all employees and their superiors. The biggest challenge was seeing experience team members leaving either for greener pastures or on their own accord, as it leaves a big cap to", , 
35,Asesora en Asuntos Legales,Asesora Externa,"Punitaqui, Coquimbo","March 26, 2018","Asesoría Legal en materias propias de la Industria como Derecho Minero, Aguas, Medioambiente y permisos.",Gran oportunidad de aprender la ingenieria de la industria,Pocas armas para lograr los objetivos
36,Challenging and productive,Shift Reiever,"Brits, North West","March 25, 2018","Its a good company with brilliant team, good resources and strong management. The salary was good, with medical aid and housing allowance. They very strict on safety and always try by all means to bring up new systems to improve it. Employees suggestions always taken to consideration. Overall I can say its a balanced company!",Sports days on saturdays or fridays,N/a
37,I was only there for work experience,Intern,Green Park Station,"March 25, 2018",It was a good work environment that I saw and the pay for the two weeks I worked there was great. I would recommend it again to anyone. The training that they provided was good.,good pay,lots of screen staring
38,Glencore Lydenburg was a safe work  place and it was my home during working hours because i felt more safer and I've  learned alot,artisan assistant,"Lydenburg, Mpumalanga","March 22, 2018",Glencore Lydenburg smelter  is a that makes ferrochrome.I was a community learnership in artisan aid boilermaker and i obtained a level two certificate on boilermaker.while working i enjoyed every moment and learnt alot about safety and the plant how is it operating,When we worked unplanned overtime or these a break down,9.5 hrs
39,good,Instrumentation Artisan Aide,"Rustenburg, North West","March 17, 2018","i learn everyday new things as the plant have reak down to attent to you get familiar with the the possibilities so that next time you dont get to struggle when the same situation appears in other words im commited to my work,period.", , 
40,journée productive,Effectuer entretien,"Salaberry-de-Valleyfield, QC","March 14, 2018","Une journée de travail chez Ce zinc est réparti sur une période de 12h.  Nous travaillons dans des conditions difficile par exemple, chaleur, poussière, feu, effort physique etc...La santé sécurité est une politique très importante que chacun doit respecter. Malgré les enjeux des conditions de travail, chaque tache est bien organisé pour que le travail sois exécuté de façon sécuritaire.",assurance,horaire de nuit
41,Dynamic environment,Production Engineer,"Rustenburg, North West","March 6, 2018",The work was intense but rewarding due to the smelting environment. Hard work made easier with the support of management and a great team. Good opportunities to develop., , 
43,Productive and safe workplace,Trainee Engineer,"Witbank, Mpumalanga","February 28, 2018","Typical day was fine and fairLearnt a lot about mining and grew as an individualManagement was good and culture incorporated well Hardest part was the lack of progression, unable to advance enjoyable, benefits from production, the work environment, the people Safe environment, safety a huge priority which also boosts moral and culture. Employees are well looked after", , 
44,Hard working environment.,Labourer,Mount Isa,"February 25, 2018","Glencoe in the mount isa region is a hard working environment that demands you to work safely and efficiently in a team too complete the necessary tasks for the shift and to convey any progress or hold up to the next shift taking over, as well as any safety issues.A great place too work.",Pay,Work conditions
45,Great place to work,Electrical Supervisor,Mount Isa QLD,"February 23, 2018",My typical day starts at 5am when I get up and get ready for work. Work is only 5 minutes away which is great. I get to work and review yesterday's activities and read the production shift log. 6:15am I attend a production meeting and 7am I conduct work pre-start with my team. Tasks assignments and supervisory work till 3pm or 7pm depending on the day.,Relaxed environment,No sure
46,Terrible place to work,MDA,"Pretoria, Gauteng","February 1, 2018","Management cruel, vindictive, unreasonable.Hated everyday at work.HR incompetent.No proper training provided.Culture of fear and intimidation.Regret I ever joined Glencore.", ,Terrible IT management
47,Very Good Work Place,Manager,Dubai,"January 27, 2018",Lot of opportunity to learn and grow.  Flat organization so faster growth.Friendly and open atmosphere. Lot of exposure within different departments., , 
48,Productive and Challenging,Energy Analyst/Trader,"London, Greater London","January 25, 2018","Made some great friends through the companyIf you put in the effort and time, you will be rewarded accordinglyManagement are easy to approachDecent perks", , 
49,Excellent place to work,Retired,"Sudbury, ON","January 23, 2018",Great place to work productive exciting and rewarding.  Trustworthy company with excellent track record on completing projects.  Investing money for future mine sites to enhance an already excellent portfolio., , 
50,Miner,Miner,"Sudbury, ON","January 23, 2018",Great place to work with lots of enjoyable people.  Management is knowledgeable and trustworthy.  awesome schedule.  Seem to be investing a lot of money in future projects, , 
51,Glencore was the best company I have worked for.,Cost & Management Accountant,"Brits, North West","January 18, 2018","1. My workday was based on my plan, which I derive weekly and review daily. Cost variance analysis and sending reports to line managers and senior management.  2. Formulation of financial statements. especially tax reporting.3. Management was excellent and exposing subordinates  to development.4. Culture was excellent.", , 
52,A very good place to work,Artisan fitter,"Rustenburg, North West","January 18, 2018","Working at Glencore is fun, even though sometimes one may be pushed to work long hours but at least the management team is very very good which makes it much easier to work delightfully under any circumstances.",Monthly bonus,Long hours
53,Buena empresa multinacional,Administrativo Sr,"San Isidro, Buenos Aires","January 10, 2018","Es una empresa para crecer pero hay que tener paciencia, muy buen ambiente laboral de trabajo.",seguridad laboral,no te reconocen las horas extras
54,Great atmospher,Snr Service Desk Technician,"Toronto, ON","January 3, 2018",good employee atmosphere while working there. Top level management (regional IT manager) is a good person. There isn't much I can say about working there. This is a forced review which I'd rather not have to do with Indeed.com,free lunches,Long hours more than expected
55,Excellent Company,Administrative Assistant,"Stamford, CT","January 2, 2018","As we know in the world of trading it tends to be very busy with early and late hours. With the corporate office located in Switzerland, though there was sometimes deadlines had to met which would lead to some stress however I loved working in the nonferrous metals department.  Lot of work, we were a team and worked as a team to get the job done.", , 
56,Interesting environment where one can learn a lot,Rigger and Ropesman,"Witbank, South Africa","December 20, 2017","A typical day at work consists of lifting of structures and equipment, inspections on drag line and maintenance work. Sometimes safety meetings are held and compliance work is carried out in the workshop.I learned a lot about coal mining operations. The management is friendly but poor planning often causes job delays which means regular overtime is worked.The culture is friendly and everyone gets along well, the only hardest part of the job is that no one is in a hurry which affects one's own productivity especially when you are ambitious and want to get things done but I have learned to deal with this challenge. I enjoy the technical aspects of the jobs such as problem fixing when there is a problem on the drag-line.",Incentive gifts such as food and monetary gifts,Long hours
57,Very business focussed,Senior Technical Adviser,Mount Isa,"December 20, 2017",Budget focussed on maximising profitsGood trainingSafety focussedGood work culturePoor Communication down stratumsMultifaceted job with challenging tasks,Good work enviroment,long hours
58,productive,security guard,"Durban North, KwaZulu-Natal","December 16, 2017",Work enviroment was good also staff and management was always understanding and very helpful in every way salary was always on time as well as benefits were good glencore was a stepping stone to gain experience in a security field and armed guarding,free lunch and coffee,long hours
