,review title,job title,job location,date,description,pros,cons
0,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
1,Valuable workplace to gain great experience,Customer Service Representative,Singapore,"November 14, 2018",I was in a very international workplace and colleagues and managers are very approachable. The company provides number of seminars and encouraging courses for employees for the future career path. Switching to different team or department with manager's approval is possible when available and qualified.No overtime work was paid when a business development project was on-going with issues and overtime work was necessary for months.,"Good secured salary, nice colleagues and managers, career path plan, free snacks and drinks",no overtime work pay
2,bon employeur dans l'ensemble,opérationnel,"Saguenay, QC","November 12, 2018",demande de la disponibilité en grande quantitéorientation résultat,rémunération compétitive dans la région,peu ouvert à l'équilibre
3,Okay,Principal Study Manager,"Salt Lake City, UT","November 6, 2018","Depending on where you are Rio Tinto can be great or terrible. Most roles in australia are setup well, while the less lucrative business units dont have as great of a setup for employees.", , 
4,Good culture,Serviceman,Weipa QLD,"November 1, 2018",The work environment is good and the staff members are excellent to work with.  Management are very organised and willing to train and help where necessary.,Fifo,None
5,"Nice people, 0 work life balance","Chief Adviser, Global Policy, Stakeholder Manager","Montréal, QC","October 30, 2018","The company is in a constant state of flux, and people do not know who to reach out to in order to get things done. Also there is very little thought to work life balance.", , 
6,Excellent company,Rail Operations Training Officer (Secondment),7 Mile,"October 23, 2018","Excellent company to work for.  Encourage professional development, was offered many opportunities to increase my skill set and better my stead professionally within the company.",Look after employess,Unfortunately due to freeze no career progression available
7,Forward looking progressive company,Principal Advisor,Singapore,"October 22, 2018",A great company to work for. Never a dull moment in Rio world. You learn new things practically every day and management is super open and accessible. Very deep employee caring culture derived from safety value. The hardest part of the job is that if one doesn't continue learning you might get behind from others. Most enjoyable part of the job is a societal transformation and big impacts in where the company operates and works.,Top salary in addition to generous benefits,A bit removed from everyday consumers
8,A great company that needs to be more agile and innovative,Principal Advisor/Manager - Corporate Networks,"Montreal, WI","October 16, 2018",A global company with a very difficult and challenging work life situation. Engaging and collaborating on global projects requires attending meetings at nights and early morning.  The workplace culture is not employee friendly. Lots of meetings and discussions but very little decision making and execution of projects done in a timely manner.  Most decisions about funding (over 100K) needs to be approved by a senior executive. Not agile and not a digitally driven organization.,Compensation and benefits are very good,Not very agile and innovative. Not a digitally driven organization
9,Good corporate citizen,General Manager,Singapore,"October 16, 2018","Strengths:  Financial stability, Innovative, Respect & IntegrityArea of improvement:  Career development, Employees empowerment, inclusion & diversity", , 
10,Good corporate citizen,General Manager,"Montréal, QC","October 16, 2018","Company in constant transformation.  Maximization of the shareholders value prevails over other value. The eNPS score is negative year after year - Strong at - Safety, financial stability, respect and integrityAreas of improvement: employees empowerment, career development,", , 
11,productive and excellent working environment,Murowa diamond mines Shaft operations supervisor,zvishavane zimbabwe,"October 14, 2018",one of the best experience ever .would love to work for this company again. accommodation was offered and other basic human amenities .transport as well as clothing allowances were all paid meticulously free meals for all new recruits. the company also gives room for further education.,professional workshops,contracts
12,Great benefits,HR,Singapore,"October 13, 2018","Great benefits and focus on safety.Culture is quite open and differing opinions are valued. Very diversed working environment, typical MNC environment.", , 
13,"Great Compensation and Benefits, Bureaucratic",Manager of Finance - Global Logistics,"Denver, CO","October 11, 2018","Rio Tinto provides many opportunities for advancement if you are willing to move. Compensation and benefits are fantastic. Bureaucracy is suffocating. My immediate manager was great, but overall I wouldn't say Rio Tinto has an innovation culture. Great place to work for the compensation, but don't expect new ideas to be adopted quickly if at all.",Benefits and compensation,Bureaucratic
14,Soild place to work,Millwright,Rtm Boron ca usa,"October 11, 2018",Solid place to work if you are in a union.  Management  jobs not so much. Long drive to Boron ca. But easy to find a carpool. You can get a good wage and benefits also 401k and stock options.,Good benefits,Long commute
15,Fast pace and new experience,Shipping and Receiving Specialist C,"Boron, CA","October 9, 2018",Loved working there when I did. Was busy all the time. Was able to learn new skills and machinery.also had a chance job enhancement such as new position and rate of pay.,Job advancement,Was contracted out
16,Best safety standards,Mineral Rights Specialist,"Johannesburg North, Gauteng","October 2, 2018",They have got good work codes but they only observe them to please the management.Different rules for different people. They have problems with indigenousation .Career progression is limited,Good travelling cover,Refuse to adapt to local practises
17,"My manager was excellent, overall management poor",Manager of Finance - Global Logistics,Colorado,"September 23, 2018","Excellent benefits and pay, but if you are someone who wants to do something innovative, the bureaucracy at Rio Tinto will snuff you out. It might be different at higher levels of management, but the incentives for middle managers and rank-and-file staff is to do what you're told. It is the same as any other large organization - your best bet is to reserve your energy and do only the bare minimum to get the paycheck. Raising your hand to try something different will only get it lopped off. Granted, extractive industries have never been know for innovation. They are generally very conservative. Rio Tinto is no different.",Excellent benefits and pay,"Overly conservative management, suffocating bureaucracy"
18,Great Place,Mine Control Engineer III,"Salt Lake City, UT","September 21, 2018",Awesome great place to work. There is not much more to say. It has been a pleasure to be part of the great Rio company. Would love to continue to work for them n the future., , 
19,Great company to work for,Administrative Assistant,Tom Price WA,"September 16, 2018","Wide array of clerical and administrative duties for FIFO and residential teams.  Extremely varied tasks - travel, PPE, HSE involvement, reporting, etcI learned what teamwork really isManagement is great, with a progressive attitudeWorkplace culture is professional yet casual and inclusiveHardest part of the job was probably trying to juggle so many tasks that related to people on rotating rosters.  Required good use of personal notes and a sharp memoryMost enjoyable part was the camaraderie",Great place to expand skills and get paid well to do it,Mining and resources sector can be unstable
20,Big company,"Heavy Duty Serviceman, Advanced Rigger and ERT VC",Pilbara WA,"September 16, 2018",Feel secure working for a big company but you do get lost in the system. Not many opportunities to grow with in a the company. They have put me through a few courses but not to any real benefit, , 
21,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
22,Facility closed in Thunder Bay,Mineral Observer,"Thunder Bay, ON","September 16, 2018",Great place to work but the facility is now closed in Thunder Bay.  Always looked for ward to going to work and didn't have to take the job home with me., , 
23,good place to work,Drill Operator,Brockman WA,"September 12, 2018","I loved working for Rio Tinto and with its employees, my only downfall with Rio Tinto was i became another statistic to infidelity while away mining and i felt i never really got proper support or understanding of what i was going through as an indigenous male working away but in no way shape or form do i blame Rio Tinto or any of its staff for my or others actions i take full responsibility for the outcome on which it was handled poorly by myself. In saying so i wish to become re-employed with Rio Tinto to become a success story to an unfortunate statistic that we where told in training before employment of such areas that mining life contributes to and takes a toll on.I believe if i do regain employment i can only further benefit the company,myself and  help others in a like-wise or any unfortunate situation.",Good Co-Employees, 
24,Good An bad,Secondary break,Perth WA,"August 30, 2018",Rio is a good company but some of there sites are not run to well with a few of there bosses  they change things constantly An for ever updating there procedures to suit one person, , 
25,Great place to work,Heavy Equipment Mechanic,"Boron, CA","August 29, 2018",12 hour day They teach you everything you need management is okGreat work place culture The hardest part was leaving after 13 yearsWorking with a great group of mechanics,Great pay with time for a home life,none
26,Good money but its about the business and they let you know,TRAINEE - CERT II EGINEERING AND PRODUCTION,Weipa,"August 29, 2018",Don't get me wrong I like to work here its good money great benefits but the truth is they shaft you compared to other rio sites. New people with no experience are getting paid more then guys that have been here for 3 years!!!!!!!!!,Easy place to work and make good money,management aint intouch with the groud floor
27,Challenging and rewarding environment,Analyst,"London, Greater London","August 24, 2018","Very interesting environment to work in. Collaborate with high potential coworkers, contributing to fascinating and intellectually demanding projects.", , 
28,Safe and friendly,Mechanical Fitter,Gove NT,"August 16, 2018",Safe and productive work place Friendly and approachable Beautiful place to live and work Great community to live inGreat roster and leave Easily the best place to live and work,Good roster,Extrem humidity
29,You don’t want to know,Production Operator,Tom Price WA,"July 31, 2018","Rio do yourself a favour and run!!!......they’ll chew you up and spit you out...your just a number to the greedy beast....the best part is operating large machinery, hours aren’t good, food at camp doesn’t rate a mention, management are only there to line there own pockets and really don’t understand the conditions the ground staff are working under.....shall I go on.",Leaving,Rio Tinto as a whole
30,Good,Technologist,"Kitimat, BC","July 23, 2018",Typical day is &AM to 3PM. Hours are pretty flexible. safety is very important. Many jobs get stopped because of safety. safety incidents are very important., , 
31,Environnement de travail challengant avec un vaste réseau de partage des bonnes pratiques,HSE Supervisor,Edea,"July 20, 2018",Environnement de travail challengant avec un vaste réseau de partage des bonnes pratiques, , 
32,great place to work,Executive Assistant,USA,"July 19, 2018",Rio Tinto provides a diverse culture and awesome work life balance. I really enjoyed my time with the company.  My favorite thing about working here is the flex schedule.  They encourage you to work from home rather than commute in every day.,"Work from home, great benefits & work life balance","Company is always reducing employees, changing/shifting org charts and laying off employees. You NEVER felt a sense of job security."
33,Great place,Equipment Operator/Plant Operator,"Sherwood Park, AB","July 5, 2018",Awesome place to work lots of good people. Good work in Inviorment lots of training. Some days are really busy but others not so much. Very well paying job and must people don’t quit till retirement.,Pay and benefits,None
34,"Bonne compagnie, mise sur la sécurité, productivité et rendement au détriment des employés",Mécanicien équipement stationnaire,"Havre-Saint-Pierre, QC","July 5, 2018",Rio Tinto est une grosse compagnie qui veut faire sont profit et ou seule la sécurité prime sur se but. Notre convention est bonne mais ils essaient à chaque fois de nous réduire nos gains. Bonne esprit de travail dans notre équipe et un bon contre-maitre. La direction en place est dans une bonne direction pour amener la mine vers un meilleur avenir. Quart de travail de 8h jour soir nuit pour les plus jeunes et poste de jour pour les plus anciens.,Repas fourni,Avenir incertain
35,Great roster and Opportunities.,Site Based Construction Rep,Karratha WA,"July 3, 2018",Great opportunity in the outback of the Pilbara of WA. Excellent company to work with and loads of opportunities for growth and advancement. Great culture and people along with excellent locations.,Great Company,Mining DOwnturn
36,Cant speak highly enough,Operator/Truck Driver,Western Australia,"July 2, 2018","Just loved the Rio attitude, excellent people excellent sites, progression within the ranks is the norm...and the supervisors are there to help in any way and every way possible",Excellent sites,None
37,positiva,Ayudante de cocina,"Tui, Pontevedra provincia","June 26, 2018",Sitio de carácter familiar donde es fácil integrarse, , 
38,A lot of double standards,Executive Administrative Assistant,"South Jordan, UT","June 12, 2018","Executives are in Australia and the UK. They are very concerned about cost savings to the extent of outsourcing full departments. They do give a severance package, but it still cuts like a knife when they tell you your position has been eliminated and you have to hand over your company assigned property right there on the spot without any time to finish up loose ends or to look for other employment. The constant worry about lay offs causes stress for all employees. Company's roots are in Australia and seems to be fading fast for the US. They have a good safety culture and good benefits, but the uncertainty is simply too much.",Benefits and pay,Stressful worry about being outsourced
39,work place  culture,Project Manager,Canada,"June 10, 2018","Pluses  include: global opportunities , challenging projects , multiple commodities, strong safety culture Deltas include: limited operations within Canada", , 
40,productive swimming pool,Bus Driver,Driver NT,"June 7, 2018",safety safe enviroment  great work ethics i also have freinds and family that highly recommend working for this company i get along with everybody and thats the key to a great work place is that everybody gets along and gets the job done safe, , 
41,Environnement de travail,Stage,Paris (75),"June 1, 2018","Très bon encadrement, des tuteurs pédagogues et disponibles.", , 
42,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
43,Great team - Great management,Contract Administrator /Coordinator,"Montréal, QC","May 29, 2018","Opportunities to learn, great knowledge sharing, various tasks, beautiful office, accessible management, international experience, public company experience", , 
44,Productive and fun workplace,"Accountant, Finance & Accounting Department",Conakry,"May 28, 2018","This position was almost my first and real working experience after an internship in Audit  with FFA / Ernst & Young. A typical day at work was the day I had to finalize and present a report to my line manager. That was special because I received a good feedback from my line manager after the presentation. Something that I learnt was that I cannot do everything as a team member. Rather, we, as an entire team, complete each other in terms of work. Health, Safety and Security characterized the workplace. In other words, Health and Safety of the employees  constituted  the first priority of the company. Also, the management was leading with example in every situation.", , 
45,Great company with great benefits,GRADUATE ENGINEER,"South Jordan, UT","May 24, 2018",awesome training and career development opportunities. Mulit level management with years of experience to mentor the younger engineers. this provided great benefits for project management, ,Walking in and out of work. Parking lot extremely far from the plant
46,"Good pay and Benefits, Cut throat, not honest",Maintenance Technician,"Magna, UT","May 21, 2018","The pay was good, raises were not. Benefits were top notch. Good old boys network, family that works there are taken care of by management. Say one thing and do another, it is a typical conglomerate, managers fear their leaders and it trickles down, very dangerous work, lots of OT, safety is a major concern and they do try to address issues, or sweep them under the rug, CYA is the underlying corporate motto.",Pay,Management
47,"Its good working place,nice environment ang quiet",Electrician,Saudi arabia,"May 21, 2018","I accept the working place, i can leave with it,hoping to join the company , the salary is good,benifitsare also better for me,hoping to have a cnance",With free foods,I can work for long hours
48,Only difference between jail and work .going home after your shift was over,Shift Supervisor Reduction Lines,"Kitimat, BC","May 17, 2018","Started as a contract supervisor.After a year on contract was offered a full time position.Biggest mistake of my life.Constantly harrassed by superiors, at no time did a person ever do a good job.",Good salary and benefits.,Not worth the stress
49,very stressfull,Maintenance Worker,"Labrador City, NL","May 17, 2018",if you are considering this job please think twicethe work force is on a 8 week old strike right now. so if your interested in being a scab go for it you wont be welcome in this town..as a foreman there you are the one they will point a finger at when they  the mangers do wrong..,good money,very very poor management.
50,Marché de l'aluminuim,Directeur des opérations,"Jonquière, QC","May 11, 2018","Avec la conjoncture mondiale, le marché de l'aluminium est en transformation.   Pour rester compétitif,  les entreprises doivent revoir leur modèle d'affaire.  C'est ce qui c'est passé dans les 5 dernières années chez Rio Tinto.  Dans ce contexte l'organisation doit compter sur du personnel avec un bon leadership d'impact.",Milieu très challengeant, 
51,Great World Leading Company,Recruitment Coordinator,"Montréal, QC","May 11, 2018",Great supportive team members and workplace culture.Mangament was very supportive and everyone worked as a team.Learned various facets of the Company which created a proactive learning environment., , 
52,"Good pay, benefits, and work environment",Process Consulting - Purchase to Pay - Mult. Roles,"South Jordan, UT","May 10, 2018","Rio Tinto compensates well, presumably because they are competing globally for employees.  Also, the vacation policy is generous, likely to align more closely with European and Australian norms.  The work is challenging and you work with a very talented group.", , 
53,"Premier multi-national, diversified, natural resource company.",President,"Denver, CO","May 9, 2018","One of the largest resource companies in the world with a portfolio of some of the highest quality mineral assets in the industry. The company was based on a culture of quality and long-term perspective, in terms of asset selection, operational practices and human resource development. An excellent organization with which I was proud to be associated.", , 
54,production driven.,Superintendent,"Labrador City, NL","May 8, 2018","Good place to work very performance driven and stable, good community but has its down falls in certain areas. Overall good work place and there is a strong fellowship. ..",Quite community,Small community
55,Excellent,Mobile equipment operator,Paraburdoo,"May 6, 2018","Opportunity learn a range of skills, in particular, working with the latest mining equipment.Have a very good safety record.  Enjoyed mentoring other operators both in workplace operations and mental health of FIFO workers.",Safe working environment, 
56,meh,Geologist,"Salt Lake City, UT","May 2, 2018",Management is often complained about. Support to follow through and complete projects is not always there. Musical chairs of managers and poor communication make it difficult to accomplish goals.,"safety, benefits, 401k matching of 6%","management always changing, lack of opportunity, poor communication"
57,Lo que mas me gusto,Asistente Ejecutiva Bilingüe,"Santiago de Chile, Región Metropolitana","April 24, 2018","Buen ambiente laboral, buenas oportunidades para aprender y capacitarse y seguir creciendo",Seguro complementario,Ninguno
58,500 fortue company,Intern in Business development department,Beijng,"April 22, 2018","I am the intern in Rio Tinto, But when you work in this level company they teach you how to be more careful on details. Whatever a simple document you should be patience and make it nice when you show to your managers.  They cultivate employee have a good habit when they start working. And everyone can learn from the company's daily work.  Because these kind of atmosphere will prompt you be careful and be politely during your work period. They request employee provide high level and high quality work.",Learn a lot from the firm,You should be more perfact when you start working for Rio Tinto.
59,Had free food and vending machins,Security Officer/ EMT,"South Jordan, UT","April 20, 2018","The people were great to work with, but if you are doing sixteen hour work days it is hard to not be board for eight hours of the work day.  The only exercise you get is patrolling in and around the building, so if your not into watching security cameras all day then this is not the job for you.",They on occasion had free lunches,Long hours
60,A very pleasing place to work,Process Technician,Gladstone QLD,"April 17, 2018",Safety is one of the biggest things and always improving the way safety is and identifying and introducing safety improvements and being one of the safest places to work in the world, , 
61,Productive and proffesional place,Principal Advisor-Africa,Johanessburg,"April 15, 2018",This is currently the second biggest company in the mining world. Very professional and had a number of roles that one could moved to in the world. They are leaders and very progressive in their approach.,Everything,Travelling
62,Productive,driver code 14,Kadoma,"April 3, 2018",I got my experience at Rio Tinto driving trucks & tipper.I was able to work long hour since I was enjoying driving and there benefit. I was able to learn many things,Lunch offered,Long hours
63,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
64,a demanding but enjoyable place to work,HR Systems Co-Ordinator SAP,Brisbane QLD,"March 21, 2018",Rio Tinto provide a fantastic safe environment to work in. All the up to date technology is available to do your role. Great training and career advancement is encouraged.,Large company with career advancement opportunities,None
65,Excellent company to work for,PA  to Superintendent of Mining Department,Paraburdoo WA,"March 21, 2018",Postion was demanding but was extremely rewarding.  Management acknowledge positive changes that where made and implement for enhance the department.People I worked with where all excellent and all worked as a team., , 
66,Excellent Company to work for,"Principal Advisor, Industrial Hygiene","Salt Lake City, UT","March 20, 2018","Rio Tinto is committed to protecting the health and well being of its employees and contractors.  Exceptional global EHS policies, programs, and procedures.", , 
67,Great experience,Labour,"Kitimat, BC","March 19, 2018","Great contract, well done, good employer, thank you very much for the opportunity at Rio Tinto, it meant a big deal to meLocated in Kitimat BC I would enjoy coming back!-B", , 
68,work life balance working fifo,"Project Execution - Project Lead, Cape Lambert",Wickham WA,"March 18, 2018","worked at two remote locations within the business, company support for workers working remotely and always felt valued as an employee and leader of work groups. Only left business due to downsizing of work force and requirement to relocate to Wickham with family.",great work life balance,remote location
69,Enveronement agreable,Cariste manutentionnaire,Saint-Jean-de-Maurienne (73),"March 16, 2018",Bonne entreprise travail très interissant dans le domaine de l'aluminium bon salaire plain davantage avec le c e., , 
70,Very happy here,Utility Operator,"Wilmington, CA","March 12, 2018",Great place to work.  Became efficient on different equipment and been able to expand work experiece.  Safe work environment with excellent benefits and pay.,Experience,Shift work
71,Hard paced organization that values work-life balance,Specialist,"Salt Lake City, UT","March 9, 2018","Some management is great to work with, especially those who really take time to invest in you and what you bring to the table.Workplace culture, while fast paced and extreme, had its moments when it was relaxed and easy to work within.  Very flexible on working hours per day, as long as 8 plus hours were performed and it did not impact the company.", , 
72,Change is Normal,"Senior Manager Service Delivery Americas, (IS&T)","South Jordan, UT","March 7, 2018",My department has been reorganized 4 times in two years.  Way more change than is necessary.  The current CEO has a re-org globally that makes no sense for the good of Rio Tinto., , 
73,Thru the Looking Glass,Was subcontractor employed,Pilbara   W.A,"March 7, 2018","Gleaning Company 'Reviews', by existing employees, for possible access to employment, when I noticed this 'input' ; 22/02/2018 Mining System Technician, Mesa A.  'Productive Self Motivated'. Author of review, needs to check their grammar & spelling,or, just go back to using their phone, with spell checker!",better share prices than BHP,Don't optimise their/ THE resources
74,Great management,Head Electrician,"Salt Lake City, UT","March 3, 2018",Great people to work with on a day to day business. Was hoping for more money give my knowledge of some of the systems. Would recommend other peop to work here, , 
75,"A very productive place,",Warehouseman - Forklift driver - paroll,"Wilmington, CA","March 2, 2018","I worked in many jobs.Refinery, Warehouse, Payroll, Accounting, Shipping and receiving, Load Trucks, Load Ship Cargo, Fork lift driver, Store room clerk. All jobs were a good place with opportunities to grow. It was a busy place.. Not a difficult Place","Attentive, Employees first",Not much to mention
76,Interim role,General Manager HR,"London, Greater London","February 26, 2018",This was an interim role and I wasn't there long.  The people were friendly and professional.  The business was undergoing a merger with Alcan from Canada, , 
77,Mixed bag workplace,Senior Engineer,Perth WA,"February 24, 2018",Good salary and great teams and people to work with.Middle management very inexperienced due to many coming from a non professional background.Next to no training and no career advancement.,Good market salary and teammates,Clueless middle management.. If you talk the talk you get promoted.. if you work hard you dont.
