,model,price,rating
0,"Apple iPhone SE (Space Grey, 32 GB)","17,999",4.4
1,"Apple iPhone SE (Rose Gold, 32 GB)","17,999",4.4
2,"Apple iPhone SE (Gold, 32 GB)","17,999",4.4
3,"Apple iPhone 6 (Gold, 32 GB)","24,999",4.4
4,"Apple iPhone SE (Silver, 32 GB)","17,999",4.4
5,"Apple iPhone 6s (Space Grey, 32 GB)","33,999",4.4
6,"Apple iPhone 6s (Rose Gold, 32 GB)","33,999",4.4
7,"Apple iPhone 6 (Space Grey, 32 GB)","24,999",4.4
8,"Apple iPhone 6s (Gold, 32 GB)","33,999",4.4
9,"Apple iPhone 6s Plus (Rose Gold, 32 GB)","37,999",4.4
10,"Apple iPhone 6s Plus (Space Grey, 32 GB)","38,999",4.5
11,"Apple iPhone 6s Plus (Gold, 32 GB)","37,999",4.4
12,"Apple iPhone 6s (Silver, 32 GB)","34,999",4.4
13,"Apple iPhone 6s Plus (Silver, 32 GB)","37,999",4.5
14,"Apple iPhone 7 (Jet Black, 32 GB)","49,999",4.5
15,"Apple iPhone 7 (Black, 32 GB)","49,999",4.5
16,"Apple iPhone X (Silver, 64 GB)","89,999",4.6
17,"Apple iPhone X (Space Gray, 64 GB)","89,999",4.6
18,"Apple iPhone 8 Plus (Gold, 64 GB)","71,999",4.6
19,"Apple iPhone 7 (Rose Gold, 32 GB)","49,999",4.5
20,"Apple iPhone 8 Plus (Space Grey, 64 GB)","71,999",4.6
21,"Apple iPhone 8 (Silver, 64 GB)","62,999",4.5
22,"Apple iPhone 7 (Silver, 32 GB)","49,999",4.5
23,"Apple iPhone 8 Plus (Silver, 64 GB)","71,999",4.6
